sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0143,sample,Succinic_acid,ref,121.033,690,3408590,672.21,694.68
MLMET0094,sample,Succinic_acid,ref,121.033,690,16123303,672.33,694.79
MLMET0068,sample,Succinic_acid,ref,121.033,690,29499316,675,697.46
MLMET0092,sample,Succinic_acid,ref,121.033,690,17021447,675.13,697.6
MLMET0142,sample,Succinic_acid,ref,121.033,690,3520242,672.02,694.49
MLMET0138,sample,Succinic_acid,ref,121.033,690,3064870,671.91,694.38
MLMET0090,filter,Succinic_acid,ref,121.033,690,19179266,674.44,696.91
MLMET0089,filter,Succinic_acid,ref,121.033,690,18323455,674.43,696.89
MLMET0074,sample,Succinic_acid,ref,121.033,690,19696645,672,694.47
MLMET0168,sample,Succinic_acid,ref,121.033,690,3591470,672.07,694.53
MLMET0180,sample,Succinic_acid,ref,121.033,690,3408218,675.13,697.6
MLMET0098,sample,Succinic_acid,ref,121.033,690,16853910,675.07,697.54
MLMET0165,sample,Succinic_acid,ref,121.033,690,3165955,673.56,696.02
MLMET0116,filter,Succinic_acid,ref,121.033,690,16601811,673.83,696.3
MLMET0167,sample,Succinic_acid,ref,121.033,690,2894192,675.61,698.08
MLMET0137,sample,Succinic_acid,ref,121.033,690,4240333,675.49,697.96
Blank-r002,blank,Succinic_acid,ref,121.033,690,55538,672.65,695.11
MLMET0096,sample,Succinic_acid,ref,121.033,690,14372441,672.72,695.19
MLMET0181,sample,Succinic_acid,ref,121.033,690,1313673,674.63,697.09
MLMET0164,sample,Succinic_acid,ref,121.033,690,3768508,674.38,696.84
all_ss-r001,stds,Succinic_acid,ref,121.033,690,59265,673.22,695.69
MLMET0185,sample,Succinic_acid,ref,121.033,690,3179525,673.33,695.8
MLMET0118,sample,Succinic_acid,ref,121.033,690,13885508,675.05,697.51
MLMET0144,filter,Succinic_acid,ref,121.033,690,3588885,675.18,697.64
MLMET0166,sample,Succinic_acid,ref,121.033,690,3361114,672.05,694.52
all_ss-r002,stds,Succinic_acid,ref,121.033,690,60191,672.32,694.79
RCY308_control-r002,control,Succinic_acid,ref,121.033,690,53900,674.74,697.21
MLMET0117,filter,Succinic_acid,ref,121.033,690,18793466,674.79,697.25
MLMET0070,sample,Succinic_acid,ref,121.033,690,12521539,671.68,694.14
MLMET0072,sample,Succinic_acid,ref,121.033,690,21043434,671.37,693.84
MLMET0121,sample,L_Malic_Acid,met,133.014,732,34819763,706.33,728.79
MLMET0090,filter,L_Malic_Acid,met,133.014,732,638192,705.89,728.36
MLMET0091,sample,L_Malic_Acid,met,133.014,732,35806155,703.95,726.41
all_ss-r002,stds,L_Malic_Acid,met,133.014,732,97116,704.27,726.74
Blank-r001,blank,L_Malic_Acid,met,133.014,732,57641,705.88,728.35
MLMET0182,sample,L_Malic_Acid,met,133.014,732,418702,706.18,728.65
MLMET0159,filter,L_Malic_Acid,met,133.014,732,152758,703.84,726.31
MLMET0124,sample,L_Malic_Acid,met,133.014,732,9932692,703.43,725.9
MLMET0125,filter,L_Malic_Acid,met,133.014,732,152165,707.9,730.37
MLMET0066,filter,L_Malic_Acid,met,133.014,732,729590,708.04,730.51
MLMET0181,sample,L_Malic_Acid,met,133.014,732,1646614,706.58,729.05
MLMET0144,filter,L_Malic_Acid,met,133.014,732,101487,706.63,729.09
MLMET0123,sample,L_Malic_Acid,met,133.014,732,2286068,709.03,731.49
MLMET0122,sample,L_Malic_Acid,met,133.014,732,4285511,709.04,731.5
all_ss-r001,stds,L_Malic_Acid,met,133.014,732,118215,708.17,730.63
MLMET0142,sample,L_Malic_Acid,met,133.014,732,603948,707.96,730.43
MLMET0183,sample,L_Malic_Acid,met,133.014,732,35949416,710.71,733.17
MLMET0184,sample,L_Malic_Acid,met,133.014,732,2218479,710.5,732.97
MLMET0186,sample,L_Malic_Acid,met,133.014,732,6401419,708.48,730.94
MLMET0092,sample,L_Malic_Acid,met,133.014,732,14088530,708.58,731.05
MLMET0120,sample,L_Malic_Acid,met,133.014,732,12410774,710.98,733.45
MLMET0179,filter,L_Malic_Acid,met,133.014,732,184528,711.15,733.61
MLMET0161,sample,L_Malic_Acid,met,133.014,732,746129,708.06,730.52
MLMET0143,sample,L_Malic_Acid,met,133.014,732,1790869,708.16,730.62
MLMET0162,sample,L_Malic_Acid,met,133.014,732,421643,710.87,733.34
MLMET0067,filter,L_Malic_Acid,met,133.014,732,911789,711.27,733.74
Blank-r002,blank,L_Malic_Acid,met,133.014,732,80218,707.6,730.06
